date,game_id,pitcher_name,team,side,games_started,strikeouts,season_k_per_start,avg_k,raw_model_projected_ks,baseline_projected_ks,model_blend_weight,feature_coverage,projected_ks,projected_ks_lower_80,projected_ks_upper_80,projected_ks_residual_std,opponent_k_multiplier,workload_multiplier,model_baseline_disagreement,projection_source,projection_reliability_score,projection_confidence,model_name,model_feature_count,observed_model_features,opponent,opp_k_per_game,opp_runs_per_game,opp_hits_per_game,opp_walks_per_game,opp_avg,opp_obp,opp_slg,opp_ops,last3_avg_ks,last3_avg_ip,last5_avg_ks,last5_avg_ip
2026-07-23,824406,Gavin Williams,Cleveland Guardians,home,21.0,156.0,7.428571428571429,8.4,8.515,8.109,0.7,1.0,8.716,6.582,10.5,1.665,1.034,1.08,0.407,BLENDED_MODEL_HIGH_TRUST,95.816,HIGH,leakage_free_strikeout_model,15,15,Minnesota Twins,8.319148936170214,4.882978723404255,8.361702127659575,3.3297872340425534,0.247,0.322,0.414,0.736,9.333333333333334,5.733333333333333,8.4,5.44
2026-07-23,824893,Chris Sale,Atlanta Braves,home,19.0,134.0,7.052631578947368,6.2,7.563,6.456,0.7,1.0,7.422,5.145,9.7,1.777,1.044,1.076,1.107,BLENDED_MODEL_HIGH_TRUST,88.609,HIGH,leakage_free_strikeout_model,15,15,San Diego Padres,8.402173913043478,3.934782608695652,7.4021739130434785,3.282608695652174,0.226,0.301,0.373,0.674,4.666666666666667,5.0,6.2,5.24
2026-07-23,824406,Taj Bradley,Minnesota Twins,away,20.0,128.0,6.4,8.0,6.561,7.52,0.7,1.0,7.3,5.053,9.547,1.753,1.036,1.08,0.959,BLENDED_MODEL_HIGH_TRUST,90.134,HIGH,leakage_free_strikeout_model,15,15,Cleveland Guardians,8.340425531914894,3.9680851063829774,7.5,3.702127659574468,0.228,0.31,0.369,0.679,7.333333333333333,6.333333333333333,8.0,6.2
2026-07-23,824247,Troy Melton,Detroit Tigers,home,9.0,50.0,5.555555555555555,7.2,6.735,6.707,0.52,1.0,6.928,4.871,8.984,1.605,0.999,1.08,0.029,BLENDED_MODEL_CONSERVATIVE,96.205,HIGH,leakage_free_strikeout_model,15,15,Kansas City Royals,8.042553191489361,4.308510638297872,8.329787234042554,3.265957446808511,0.247,0.318,0.398,0.716,8.333333333333334,5.466666666666666,7.2,5.68
2026-07-23,824893,Kyle Hart,San Diego Padres,away,2.0,31.0,15.5,1.0,4.175,5.35,0.0,1.0,5.177,2.885,7.468,1.788,1.001,0.92,1.175,RECENT_SEASON_FALLBACK,7.917,LOW,leakage_free_strikeout_model,15,15,Atlanta Braves,8.054347826086957,4.934782608695652,8.467391304347826,3.010869565217391,0.249,0.314,0.414,0.728,0.6666666666666666,0.7000000000000001,1.0,1.22
2026-07-23,822785,Casey Legumina,Tampa Bay Rays,away,2.0,29.0,14.5,1.0,3.616,5.05,0.0,1.0,4.709,2.364,7.053,1.829,0.911,0.92,1.434,RECENT_SEASON_FALLBACK,5.252,LOW,leakage_free_strikeout_model,15,15,Toronto Blue Jays,7.333333333333333,4.043010752688172,8.182795698924732,2.7311827956989245,0.244,0.305,0.383,0.688,0.3333333333333333,1.0,1.0,1.2
2026-07-23,824247,Randy Dobnak,Kansas City Royals,away,1.0,7.0,7.0,2.3333,3.356,3.733,0.0,1.0,3.722,1.595,5.85,1.66,1.079,0.92,0.377,RECENT_SEASON_FALLBACK,16.119,LOW,leakage_free_strikeout_model,15,15,Detroit Tigers,8.684782608695652,4.25,7.869565217391305,3.619565217391304,0.236,0.315,0.398,0.713,2.333333333333333,4.433333333333334,2.333333333333333,4.433333333333334
2026-07-23,822785,Shane Bieber,Toronto Blue Jays,home,5.0,19.0,3.8,3.8,3.972,3.8,0.52,1.0,3.598,1.512,5.683,1.628,0.9,0.924,0.172,BLENDED_MODEL_CONSERVATIVE,80.73,HIGH,leakage_free_strikeout_model,15,15,Tampa Bay Rays,7.175824175824176,4.5054945054945055,8.582417582417582,3.5384615384615383,0.258,0.334,0.396,0.73,4.333333333333333,4.733333333333333,3.8,4.5
2026-07-23,823042,Michael McGreevy,St. Louis Cardinals,home,19.0,71.0,3.736842105263158,4.0,3.22,3.921,0.7,1.0,3.49,1.296,5.684,1.712,0.9,1.08,0.701,BLENDED_MODEL_HIGH_TRUST,92.79,HIGH,leakage_free_strikeout_model,15,15,Arizona Diamondbacks,7.206521739130435,4.239130434782608,7.869565217391305,3.130434782608696,0.237,0.307,0.383,0.69,4.666666666666667,6.066666666666666,4.0,5.84
2026-07-23,823042,Brandon Pfaadt,Arizona Diamondbacks,away,7.0,44.0,6.285714285714286,2.8,3.343,3.846,0.52,1.0,3.462,1.308,5.615,1.68,0.958,0.92,0.503,BLENDED_MODEL_CONSERVATIVE,84.33,HIGH,leakage_free_strikeout_model,15,15,St. Louis Cardinals,7.714285714285714,4.571428571428571,8.219780219780219,3.208791208791209,0.245,0.321,0.394,0.715,3.6666666666666665,5.066666666666666,2.8,4.26
