date,game_id,pitcher_name,team,side,games_started,strikeouts,season_k_per_start,avg_k,raw_model_projected_ks,baseline_projected_ks,model_blend_weight,feature_coverage,projected_ks,projected_ks_lower_80,projected_ks_upper_80,projected_ks_residual_std,opponent_k_multiplier,workload_multiplier,model_baseline_disagreement,projection_source,projection_reliability_score,projection_confidence,model_name,model_feature_count,observed_model_features,opponent,opp_k_per_game,opp_runs_per_game,opp_hits_per_game,opp_walks_per_game,opp_avg,opp_obp,opp_slg,opp_ops,last3_avg_ks,last3_avg_ip,last5_avg_ks,last5_avg_ip
2026-07-23,824406,Gavin Williams,Cleveland Guardians,home,20.0,145.0,7.25,8.4,7.072,8.055,0.7,1.0,7.838,5.586,10.09,1.757,1.034,1.08,0.983,BLENDED_MODEL_HIGH_TRUST,89.891,HIGH,leakage_free_strikeout_model,15,15,Minnesota Twins,8.319148936170214,4.882978723404255,8.361702127659575,3.3297872340425534,0.247,0.322,0.414,0.736,9.333333333333334,5.733333333333333,8.4,5.44
2026-07-23,822785,Ian Seymour,Tampa Bay Rays,away,7.0,79.0,11.285714285714286,6.8,5.612,8.146,0.52,1.0,6.996,4.587,9.406,1.88,0.911,0.944,1.75,BLENDED_MODEL_CONSERVATIVE,71.5,MEDIUM,leakage_free_strikeout_model,15,15,Toronto Blue Jays,7.333333333333333,4.043010752688172,8.182795698924732,2.7311827956989245,0.244,0.305,0.383,0.688,6.333333333333333,3.733333333333333,6.8,4.68
2026-07-23,824893,Chris Sale,Atlanta Braves,home,18.0,123.0,6.833333333333333,6.2,6.805,6.39,0.7,1.0,6.89,4.755,9.026,1.666,1.044,1.056,0.415,BLENDED_MODEL_HIGH_TRUST,95.736,HIGH,leakage_free_strikeout_model,15,15,San Diego Padres,8.402173913043478,3.934782608695652,7.4021739130434785,3.282608695652174,0.226,0.301,0.373,0.674,4.666666666666667,5.0,6.2,5.24
2026-07-23,824406,Taj Bradley,Minnesota Twins,away,19.0,124.0,6.526315789473684,8.0,5.541,7.558,0.7,1.0,6.871,4.462,9.281,1.88,1.036,1.08,1.75,BLENDED_MODEL_HIGH_TRUST,82.0,HIGH,leakage_free_strikeout_model,15,15,Cleveland Guardians,8.340425531914894,3.9680851063829774,7.5,3.702127659574468,0.228,0.31,0.369,0.679,7.333333333333333,6.333333333333333,8.0,6.2
2026-07-23,824247,Troy Melton,Detroit Tigers,home,9.0,50.0,5.555555555555555,7.2,5.406,6.707,0.52,1.0,6.353,4.036,8.67,1.808,0.999,1.08,1.301,BLENDED_MODEL_CONSERVATIVE,83.118,HIGH,leakage_free_strikeout_model,15,15,Kansas City Royals,8.042553191489361,4.308510638297872,8.329787234042554,3.265957446808511,0.247,0.318,0.398,0.716,8.333333333333334,5.466666666666666,7.2,5.68
2026-07-23,822785,Shane Bieber,Toronto Blue Jays,home,5.0,19.0,3.8,3.8,4.73,3.8,0.52,1.0,3.878,1.637,6.12,1.749,0.9,0.92,0.93,BLENDED_MODEL_CONSERVATIVE,72.932,MEDIUM,leakage_free_strikeout_model,15,15,Tampa Bay Rays,7.175824175824176,4.5054945054945055,8.582417582417582,3.5384615384615383,0.258,0.334,0.396,0.73,4.333333333333333,4.733333333333333,3.8,4.5
2026-07-23,824893,Griffin Canning,San Diego Padres,away,11.0,59.0,5.363636363636363,3.6,3.789,4.129,0.7,1.0,3.812,1.692,5.933,1.654,1.001,0.92,0.341,BLENDED_MODEL_HIGH_TRUST,96.497,HIGH,leakage_free_strikeout_model,15,15,Atlanta Braves,8.054347826086957,4.934782608695652,8.467391304347826,3.010869565217391,0.249,0.314,0.414,0.728,4.333333333333333,3.8,3.6,3.14
2026-07-23,824247,Randy Dobnak,Kansas City Royals,away,1.0,7.0,7.0,2.3333,3.721,3.733,0.0,1.0,3.722,1.669,5.775,1.602,1.079,0.92,0.012,RECENT_SEASON_FALLBACK,19.874,LOW,leakage_free_strikeout_model,15,15,Detroit Tigers,8.684782608695652,4.25,7.869565217391305,3.619565217391304,0.236,0.315,0.398,0.713,2.333333333333333,4.433333333333334,2.333333333333333,4.433333333333334
2026-07-23,823042,Michael McGreevy,St. Louis Cardinals,home,19.0,71.0,3.736842105263158,4.0,3.25,3.921,0.7,1.0,3.506,1.318,5.694,1.707,0.9,1.08,0.671,BLENDED_MODEL_HIGH_TRUST,93.097,HIGH,leakage_free_strikeout_model,15,15,Arizona Diamondbacks,7.206521739130435,4.239130434782608,7.869565217391305,3.130434782608696,0.237,0.307,0.383,0.69,4.666666666666667,6.066666666666666,4.0,5.84
2026-07-23,823042,Brandon Pfaadt,Arizona Diamondbacks,away,7.0,44.0,6.285714285714286,2.8,2.774,3.846,0.52,1.0,3.239,0.969,5.51,1.772,0.958,0.92,1.072,BLENDED_MODEL_CONSERVATIVE,78.473,MEDIUM,leakage_free_strikeout_model,15,15,St. Louis Cardinals,7.714285714285714,4.571428571428571,8.219780219780219,3.208791208791209,0.245,0.321,0.394,0.715,3.6666666666666665,5.066666666666666,2.8,4.26
