date,game_id,pitcher_id,pitcher_name,team,opponent,side,projected_ks,projected_outs,projected_ip,projected_er,projected_hits_allowed,projected_walks,projected_win_probability,projected_quality_start_probability,draftkings_pitcher_points,fanduel_pitcher_points,projected_fantasy_score,projected_fantasy_score_lower_80,projected_fantasy_score_upper_80,projected_fantasy_score_residual_std,history_games,projection_method,calibration_status,uncertainty_method,used_fallback_er,used_fallback_hits_allowed,used_fallback_walks,used_fallback_win_probability
2026-07-23,824247,675512,Troy Melton,Detroit Tigers,Kansas City Royals,home,6.928,17.639,5.8797,0.6044,3.1433,1.8633,0.4544,0.5556,24.6901,41.5586,24.6901,19.7754,29.6049,3.8349,,strikeouts_outs_and_historical_components,UNCALIBRATED,component_dispersion_approximation,False,False,False,False
2026-07-23,824893,519242,Chris Sale,Atlanta Braves,San Diego Padres,home,7.337,16.356,5.452,0.9967,4.2856,1.0778,0.4544,0.4,23.5474,39.7037,23.5474,18.6327,28.4622,3.8349,,strikeouts_outs_and_historical_components,UNCALIBRATED,component_dispersion_approximation,False,False,False,False
2026-07-23,824406,668909,Gavin Williams,Cleveland Guardians,Minnesota Twins,home,8.692,16.821,5.607,3.01,5.07,1.31,0.305,0.3,21.3717,36.897,21.3717,16.457,26.2865,3.8349,,strikeouts_outs_and_historical_components,UNCALIBRATED,component_dispersion_approximation,False,False,False,False
2026-07-23,824406,671737,Taj Bradley,Minnesota Twins,Cleveland Guardians,away,7.317,17.083,5.6943,2.4542,4.9784,1.9726,0.5558,0.3,20.5904,36.2061,20.5904,15.6756,25.5051,3.8349,,strikeouts_outs_and_historical_components,UNCALIBRATED,component_dispersion_approximation,False,False,False,False
2026-07-23,822785,693855,Ian Seymour,Tampa Bay Rays,Toronto Blue Jays,away,6.996,13.292,4.4307,2.7018,3.3818,1.3929,0.4518,0.2,17.4997,29.6853,17.4997,12.585,22.4145,3.8349,,strikeouts_outs_and_historical_components,UNCALIBRATED,component_dispersion_approximation,False,False,False,False
2026-07-23,823042,694297,Brandon Pfaadt,Arizona Diamondbacks,St. Louis Cardinals,away,3.462,14.263,4.7543,1.4429,4.6341,0.4218,0.6024,0.0,14.1112,23.9343,14.1112,9.1965,19.026,3.8349,,strikeouts_outs_and_historical_components,UNCALIBRATED,component_dispersion_approximation,False,False,False,False
2026-07-23,823042,700241,Michael McGreevy,St. Louis Cardinals,Arizona Diamondbacks,home,3.49,17.078,5.6927,1.5984,4.99,1.0526,0.2037,0.7,13.7808,26.7748,13.7808,8.8661,18.6956,3.8349,,strikeouts_outs_and_historical_components,UNCALIBRATED,component_dispersion_approximation,False,False,False,False
2026-07-23,824247,677976,Randy Dobnak,Kansas City Royals,Detroit Tigers,away,3.722,14.109,4.703,1.0,4.3333,2.6667,0.05,0.0,12.0258,22.575,12.0258,7.111,16.9405,3.8349,,strikeouts_outs_and_historical_components,UNCALIBRATED,component_dispersion_approximation,False,False,False,False
2026-07-23,824893,656288,Griffin Canning,San Diego Padres,Atlanta Braves,away,4.24,12.713,4.2377,2.5886,4.6243,1.5471,0.05,0.1,9.3347,18.3673,9.3347,4.42,14.2495,3.8349,,strikeouts_outs_and_historical_components,UNCALIBRATED,component_dispersion_approximation,False,False,False,False
2026-07-23,822785,669456,Shane Bieber,Toronto Blue Jays,Tampa Bay Rays,home,3.591,14.588,4.8627,3.0,5.44,2.52,0.2,0.2,8.147,18.361,8.147,3.2322,13.0618,3.8349,,strikeouts_outs_and_historical_components,UNCALIBRATED,component_dispersion_approximation,False,False,False,False
