date,game_id,team,opponent,side,player_id,player_name,batting_order,position,status
2026-07-11,823357,Milwaukee Brewers,Pittsburgh Pirates,away,592885,Christian Yelich,1,DH,In Progress
2026-07-11,823357,Milwaukee Brewers,Pittsburgh Pirates,away,669003,Garrett Mitchell,2,CF,In Progress
2026-07-11,823357,Milwaukee Brewers,Pittsburgh Pirates,away,668930,Brice Turang,3,2B,In Progress
2026-07-11,823357,Milwaukee Brewers,Pittsburgh Pirates,away,661388,William Contreras,4,C,In Progress
2026-07-11,823357,Milwaukee Brewers,Pittsburgh Pirates,away,641343,Jake Bauers,5,1B,In Progress
2026-07-11,823357,Milwaukee Brewers,Pittsburgh Pirates,away,800325,Luis Lara,6,LF,In Progress
2026-07-11,823357,Milwaukee Brewers,Pittsburgh Pirates,away,806198,Cooper Pratt,7,SS,In Progress
2026-07-11,823357,Milwaukee Brewers,Pittsburgh Pirates,away,686217,Sal Frelick,8,RF,In Progress
2026-07-11,823357,Milwaukee Brewers,Pittsburgh Pirates,away,687401,Joey Ortiz,9,3B,In Progress
2026-07-11,823357,Pittsburgh Pirates,Milwaukee Brewers,home,663968,Jake Mangum,1,CF,In Progress
2026-07-11,823357,Pittsburgh Pirates,Milwaukee Brewers,home,664040,Brandon Lowe,2,2B,In Progress
2026-07-11,823357,Pittsburgh Pirates,Milwaukee Brewers,home,668804,Bryan Reynolds,3,DH,In Progress
2026-07-11,823357,Pittsburgh Pirates,Milwaukee Brewers,home,699013,Esmerlyn Valdez,4,RF,In Progress
2026-07-11,823357,Pittsburgh Pirates,Milwaukee Brewers,home,656811,Ryan O'Hearn,5,1B,In Progress
2026-07-11,823357,Pittsburgh Pirates,Milwaukee Brewers,home,693304,Nick Gonzales,6,3B,In Progress
2026-07-11,823357,Pittsburgh Pirates,Milwaukee Brewers,home,682997,Tyler Callihan,7,LF,In Progress
2026-07-11,823357,Pittsburgh Pirates,Milwaukee Brewers,home,669707,Jared Triolo,8,SS,In Progress
2026-07-11,823357,Pittsburgh Pirates,Milwaukee Brewers,home,680779,Henry Davis,9,C,In Progress
2026-07-11,823682,Los Angeles Angels,Minnesota Twins,away,687263,Zach Neto,1,SS,Pre-Game
