date,season,player_id,player_name,team,opponent,batting_order,position,games,plate_appearances,at_bats,hits,doubles,triples,home_runs,runs,rbi,walks,strikeouts,stolen_bases,caught_stealing,total_bases,avg,obp,slg,ops,hits_per_game,total_bases_per_game,runs_per_game,rbi_per_game,walks_per_game,strikeouts_per_game,home_runs_per_game,stolen_bases_per_game,walk_rate,strikeout_rate,home_run_rate
2026-07-10,2026,607208,Trea Turner,Philadelphia Phillies,Detroit Tigers,1,SS,92,406,380,90,16,0,10,62,32,23,90,16,2,136,0.237,0.283,0.358,0.641,0.9782608695652174,1.4782608695652173,0.6739130434782609,0.34782608695652173,0.25,0.9782608695652174,0.10869565217391304,0.17391304347826086,0.05665024630541872,0.22167487684729065,0.024630541871921183
2026-07-10,2026,656941,Kyle Schwarber,Philadelphia Phillies,Detroit Tigers,2,DH,91,405,341,86,9,1,32,57,58,59,140,2,0,193,0.252,0.368,0.566,0.934,0.945054945054945,2.120879120879121,0.6263736263736264,0.6373626373626373,0.6483516483516484,1.5384615384615385,0.3516483516483517,0.02197802197802198,0.145679012345679,0.345679012345679,0.07901234567901234
2026-07-10,2026,547180,Bryce Harper,Philadelphia Phillies,Detroit Tigers,3,1B,95,399,333,86,16,2,20,58,57,60,81,5,3,166,0.258,0.366,0.498,0.864,0.9052631578947369,1.7473684210526317,0.6105263157894737,0.6,0.631578947368421,0.8526315789473684,0.21052631578947367,0.05263157894736842,0.15037593984962405,0.20300751879699247,0.05012531328320802
2026-07-10,2026,669016,Brandon Marsh,Philadelphia Phillies,Detroit Tigers,4,LF,90,355,333,102,15,2,15,50,46,17,94,8,3,166,0.306,0.341,0.498,0.839,1.1333333333333333,1.8444444444444446,0.5555555555555556,0.5111111111111111,0.18888888888888888,1.0444444444444445,0.16666666666666666,0.08888888888888889,0.04788732394366197,0.2647887323943662,0.04225352112676056
2026-07-10,2026,664761,Alec Bohm,Philadelphia Phillies,Detroit Tigers,5,3B,90,365,330,72,14,0,11,30,47,25,52,1,0,119,0.218,0.282,0.361,0.643,0.8,1.3222222222222222,0.3333333333333333,0.5222222222222223,0.2777777777777778,0.5777777777777777,0.12222222222222222,0.011111111111111112,0.0684931506849315,0.14246575342465753,0.030136986301369864
2026-07-10,2026,681082,Bryson Stott,Philadelphia Phillies,Detroit Tigers,6,2B,89,345,313,76,16,4,7,36,41,26,60,16,0,121,0.243,0.303,0.387,0.69,0.8539325842696629,1.3595505617977528,0.4044943820224719,0.4606741573033708,0.29213483146067415,0.6741573033707865,0.07865168539325842,0.1797752808988764,0.07536231884057971,0.17391304347826086,0.020289855072463767
2026-07-10,2026,687282,Gabriel Rincones Jr.,Philadelphia Phillies,Detroit Tigers,7,RF,20,67,63,12,3,0,2,6,6,2,18,0,0,21,0.19,0.224,0.333,0.557,0.6,1.05,0.3,0.3,0.1,0.9,0.1,0.0,0.029850746268656716,0.26865671641791045,0.029850746268656716
2026-07-10,2026,656537,Derek Hill,Philadelphia Phillies,Detroit Tigers,8,CF,71,138,125,33,3,0,7,20,15,9,48,7,4,57,0.264,0.319,0.456,0.775,0.4647887323943662,0.8028169014084507,0.28169014084507044,0.2112676056338028,0.1267605633802817,0.676056338028169,0.09859154929577464,0.09859154929577464,0.06521739130434782,0.34782608695652173,0.050724637681159424
2026-07-10,2026,665561,Rafael Marchán,Philadelphia Phillies,Detroit Tigers,9,C,31,89,85,9,0,0,2,5,6,2,14,0,0,15,0.106,0.146,0.176,0.322,0.2903225806451613,0.4838709677419355,0.16129032258064516,0.1935483870967742,0.06451612903225806,0.45161290322580644,0.06451612903225806,0.0,0.02247191011235955,0.15730337078651685,0.02247191011235955
2026-07-10,2026,805808,Kevin McGonigle,Detroit Tigers,Philadelphia Phillies,1,SS,91,405,343,98,18,3,8,58,34,59,55,11,0,146,0.286,0.395,0.426,0.821,1.0769230769230769,1.6043956043956045,0.6373626373626373,0.37362637362637363,0.6483516483516484,0.6043956043956044,0.08791208791208792,0.12087912087912088,0.145679012345679,0.13580246913580246,0.019753086419753086
