pitcher_id,pitcher_name,team,game_date,innings,strikeouts,walks,hits,earned_runs,home_runs,era
688107,Robert Gasser,Milwaukee Brewers,2026-07-12,3.0,3,0,8,7,2,5.24
688107,Robert Gasser,Milwaukee Brewers,2026-07-07,7.2,4,1,4,2,1,4.15
688107,Robert Gasser,Milwaukee Brewers,2026-06-29,5.2,5,1,7,3,1,4.54
688107,Robert Gasser,Milwaukee Brewers,2026-06-21,6.0,7,1,4,2,0,4.50
688107,Robert Gasser,Milwaukee Brewers,2026-06-16,5.2,5,2,2,0,0,4.88
694973,Paul Skenes,Pittsburgh Pirates,2026-07-12,5.1,7,1,3,2,0,3.57
694973,Paul Skenes,Pittsburgh Pirates,2026-07-07,6.0,4,1,8,2,0,3.58
694973,Paul Skenes,Pittsburgh Pirates,2026-07-01,4.0,5,2,6,7,2,3.62
694973,Paul Skenes,Pittsburgh Pirates,2026-06-26,5.0,7,2,6,4,0,3.10
694973,Paul Skenes,Pittsburgh Pirates,2026-06-20,6.0,8,2,4,2,1,2.86
607625,Seth Lugo,Kansas City Royals,2026-07-12,4.0,6,2,4,2,1,4.56
607625,Seth Lugo,Kansas City Royals,2026-07-07,4.1,4,2,9,6,2,4.56
607625,Seth Lugo,Kansas City Royals,2026-07-01,6.0,7,0,9,3,2,4.20
607625,Seth Lugo,Kansas City Royals,2026-06-25,5.0,3,2,7,7,3,4.18
607625,Seth Lugo,Kansas City Royals,2026-06-19,6.0,0,3,5,1,0,3.69
669358,Shane Baz,Baltimore Orioles,2026-07-12,4.2,9,0,7,1,0,4.11
669358,Shane Baz,Baltimore Orioles,2026-07-07,6.0,3,3,6,3,0,4.21
669358,Shane Baz,Baltimore Orioles,2026-06-29,7.0,6,4,4,2,0,4.19
669358,Shane Baz,Baltimore Orioles,2026-06-23,5.0,5,1,8,5,1,4.31
669358,Shane Baz,Baltimore Orioles,2026-06-18,7.0,9,2,5,3,0,4.04
701542,Will Warren,New York Yankees,2026-07-12,5.0,2,2,4,1,1,4.03
701542,Will Warren,New York Yankees,2026-07-07,4.0,3,2,7,6,3,4.15
701542,Will Warren,New York Yankees,2026-07-01,5.1,7,0,5,2,1,3.73
701542,Will Warren,New York Yankees,2026-06-26,5.2,0,3,7,5,1,3.75
701542,Will Warren,New York Yankees,2026-06-20,5.2,8,2,8,2,1,3.45
676917,Cade Cavalli,Washington Nationals,2026-07-12,6.0,5,1,4,2,0,3.83
676917,Cade Cavalli,Washington Nationals,2026-07-05,2.1,3,2,6,3,1,3.88
676917,Cade Cavalli,Washington Nationals,2026-06-30,7.0,13,0,1,0,0,3.69
