date,game_id,away_team,home_team,away_pitcher,home_pitcher,status
2026-07-11,823357,Milwaukee Brewers,Pittsburgh Pirates,Brandon Sproat,Braxton Ashcraft,Final
2026-07-11,823356,Milwaukee Brewers,Pittsburgh Pirates,Shane Drohan,Bubba Chandler,In Progress
2026-07-11,823682,Los Angeles Angels,Minnesota Twins,Ryan Johnson,Joe Ryan,In Progress
2026-07-11,824576,Athletics,Chicago White Sox,Gage Jump,Bryan Hudson,Game Over
2026-07-11,823198,Colorado Rockies,San Francisco Giants,Kyle Freeland,Tyler Mahle,In Progress
2026-07-11,822711,New York Yankees,Washington Nationals,Cam Schlittler,PJ Poulin,In Progress
2026-07-11,823603,Boston Red Sox,New York Mets,Eduardo Rivera,Freddy Peralta,In Progress
2026-07-11,822953,Seattle Mariners,Tampa Bay Rays,Logan Gilbert,Griffin Jax,Warmup
2026-07-11,823844,Cleveland Guardians,Miami Marlins,Tanner Bibee,Eury Pérez,In Progress
2026-07-11,824249,Philadelphia Phillies,Detroit Tigers,Cristopher Sánchez,Casey Mize,Pre-Game
2026-07-11,824813,Kansas City Royals,Baltimore Orioles,Noah Cameron,Kyle Bradish,Pre-Game
2026-07-11,822875,Houston Astros,Texas Rangers,Peter Lambert,Kumar Rocker,Pre-Game
2026-07-11,824492,Chicago Cubs,Cincinnati Reds,Javier Assad,Nick Lodolo,Pre-Game
2026-07-11,823030,Atlanta Braves,St. Louis Cardinals,Reynaldo López,Matthew Liberatore,Pre-Game
2026-07-11,823276,Toronto Blue Jays,San Diego Padres,Trey Yesavage,Walker Buehler,Scheduled
2026-07-11,823926,Arizona Diamondbacks,Los Angeles Dodgers,Brandon Pfaadt,Yoshinobu Yamamoto,Pre-Game
