date,game_id,away_team,home_team,away_pitcher,home_pitcher,status
2026-07-12,823358,Milwaukee Brewers,Pittsburgh Pirates,Robert Gasser,Paul Skenes,In Progress
2026-07-12,824814,Kansas City Royals,Baltimore Orioles,Seth Lugo,Shane Baz,Warmup
2026-07-12,822708,New York Yankees,Washington Nationals,Will Warren,Cade Cavalli,Warmup
2026-07-12,824491,Chicago Cubs,Cincinnati Reds,Matthew Boyd,Andrew Abbott,Pre-Game
2026-07-12,823602,Boston Red Sox,New York Mets,Payton Tolle,Zach Thornton,Pre-Game
2026-07-12,822951,Seattle Mariners,Tampa Bay Rays,Emerson Hancock,Ian Seymour,Pre-Game
2026-07-12,824250,Philadelphia Phillies,Detroit Tigers,Zack Wheeler,Tarik Skubal,Pre-Game
2026-07-12,823842,Cleveland Guardians,Miami Marlins,Joey Cantillo,Tyler Phillips,Pre-Game
2026-07-12,823681,Los Angeles Angels,Minnesota Twins,José Soriano,Taj Bradley,Pre-Game
2026-07-12,824574,Athletics,Chicago White Sox,J.T. Ginn,Noah Schultz,Pre-Game
2026-07-12,823029,Atlanta Braves,St. Louis Cardinals,Danny Young,Dustin May,Pre-Game
2026-07-12,822876,Houston Astros,Texas Rangers,Cristian Javier,MacKenzie Gore,Pre-Game
2026-07-12,823199,Colorado Rockies,San Francisco Giants,Michael Lorenzen,Trevor McDonald,Pre-Game
2026-07-12,823925,Arizona Diamondbacks,Los Angeles Dodgers,Mitch Bratt,Emmet Sheehan,Pre-Game
2026-07-12,823274,Toronto Blue Jays,San Diego Padres,Kevin Gausman,Germán Márquez,Pre-Game
