date,game_id,away_team,home_team,away_pitcher,home_pitcher,status
2026-07-19,822786,Chicago White Sox,Toronto Blue Jays,Sean Burke,Trey Yesavage,In Progress
2026-07-19,823523,Los Angeles Dodgers,New York Yankees,Yoshinobu Yamamoto,Cam Schlittler,Warmup
2026-07-19,823521,Los Angeles Dodgers,New York Yankees,,,Scheduled
2026-07-19,824739,Tampa Bay Rays,Boston Red Sox,Shane McClanahan,Sonny Gray,Pre-Game
2026-07-19,823439,New York Mets,Philadelphia Phillies,Nolan McLean,Alan Rangel,Pre-Game
2026-07-19,824897,Texas Rangers,Atlanta Braves,Nathan Eovaldi,Grant Holmes,Pre-Game
2026-07-19,824411,Pittsburgh Pirates,Cleveland Guardians,Paul Skenes,Joey Cantillo,Pre-Game
2026-07-19,824168,Baltimore Orioles,Houston Astros,Brandon Young,Hunter Brown,Pre-Game
2026-07-19,824086,San Diego Padres,Kansas City Royals,Germán Márquez,Noah Cameron,Pre-Game
2026-07-19,823764,Miami Marlins,Milwaukee Brewers,Eury Pérez,Robert Gasser,Pre-Game
2026-07-19,824653,Minnesota Twins,Chicago Cubs,Zebby Matthews,Shota Imanaga,Pre-Game
2026-07-19,824330,Cincinnati Reds,Colorado Rockies,Hunter Greene,Ryan Feltner,Pre-Game
2026-07-19,824978,Washington Nationals,Athletics,Foster Griffin,Jacob Lopez,Scheduled
2026-07-19,824007,Detroit Tigers,Los Angeles Angels,Casey Mize,Ryan Johnson,Scheduled
2026-07-19,823113,San Francisco Giants,Seattle Mariners,Robbie Ray,Logan Gilbert,Scheduled
2026-07-19,825057,St. Louis Cardinals,Arizona Diamondbacks,Andre Pallante,Eduardo Rodriguez,Scheduled
