date,game_id,away_team,home_team,away_pitcher,home_pitcher,status
2026-07-22,823518,Pittsburgh Pirates,New York Yankees,Mitch Keller,Gerrit Cole,Final
2026-07-22,823519,Pittsburgh Pirates,New York Yankees,Bubba Chandler,Max Fried,Pre-Game
2026-07-22,824735,Baltimore Orioles,Boston Red Sox,Dean Kremer,Jake Bennett,Final
2026-07-22,824732,Baltimore Orioles,Boston Red Sox,Kyle Bradish,Eduardo Rivera,Pre-Game
2026-07-22,824083,San Francisco Giants,Kansas City Royals,Landen Roupp,Seth Lugo,Final
2026-07-22,823761,New York Mets,Milwaukee Brewers,Christian Scott,Logan Henderson,Final
2026-07-22,824327,Washington Nationals,Colorado Rockies,Cade Cavalli,Gabriel Hughes,In Progress
2026-07-22,825055,Athletics,Arizona Diamondbacks,Gage Jump,Merrill Kelly,In Progress
2026-07-22,823110,Cincinnati Reds,Seattle Mariners,Brady Singer,Emerson Hancock,In Progress
2026-07-22,824004,St. Louis Cardinals,Los Angeles Angels,Hunter Dobbins,Reid Detmers,In Progress
2026-07-22,824408,Minnesota Twins,Cleveland Guardians,Bailey Ober,Slade Cecconi,Pre-Game
2026-07-22,823438,Los Angeles Dodgers,Philadelphia Phillies,Eric Lauer,Aaron Nola,Pre-Game
2026-07-22,822784,Tampa Bay Rays,Toronto Blue Jays,Griffin Jax,Braydon Fisher,Pre-Game
2026-07-22,824896,San Diego Padres,Atlanta Braves,Michael King,Martín Pérez,Pre-Game
2026-07-22,822873,Chicago White Sox,Texas Rangers,Anthony Kay,Tyler Alexander,Pre-Game
2026-07-22,824650,Detroit Tigers,Chicago Cubs,Keider Montero,Colin Rea,Pre-Game
2026-07-22,824166,Miami Marlins,Houston Astros,Sandy Alcantara,Peter Lambert,Pre-Game
